frame_id,timestamp_us,hand_id,hand_type,pronation_supination_deg,flexion_extension_deg,deviation_deg
22241,132476599986,58,right,-0.022040,-0.016286,0.001763
22242,132476617979,58,right,-0.037264,-0.027593,0.000526
22243,132476636660,58,right,-0.060997,-0.046577,-0.002661
22244,132476655274,58,right,-0.091897,-0.071063,-0.005718
22245,132476674102,58,right,-0.112232,-0.089827,-0.010574
22246,132476692687,58,right,-0.130636,-0.108633,-0.018039
22247,132476712294,58,right,-0.147907,-0.124856,-0.026763
22248,132476730636,58,right,-0.165299,-0.143338,-0.037155
22249,132476749454,58,right,-0.177619,-0.152145,-0.045041
22250,132476768524,58,right,-0.192064,-0.156462,-0.047487
22251,132476787609,58,right,-0.204216,-0.161044,-0.045642
22252,132476806258,58,right,-0.223997,-0.169661,-0.041108
22253,132476825018,58,right,-0.233334,-0.174770,-0.042673
22254,132476844372,58,right,-0.235993,-0.176778,-0.044163
22255,132476863249,58,right,-0.241420,-0.182974,-0.044553
22256,132476882287,58,right,-0.230415,-0.170747,-0.059360
22257,132476901040,58,right,-0.218372,-0.136248,-0.064498
22258,132476919605,58,right,-0.212790,-0.124402,-0.074067
22259,132476938400,58,right,-0.207708,-0.118630,-0.077835
22260,132476959205,58,right,-0.197446,-0.107057,-0.077580
22261,132476979197,58,right,-0.185937,-0.103234,-0.077848
22262,132476998082,58,right,-0.171910,-0.100988,-0.078148
22263,132477016872,58,right,-0.163472,-0.105006,-0.078279
22264,132477035611,58,right,-0.153038,-0.112612,-0.085757
22265,132477055290,58,right,-0.142043,-0.122520,-0.091872
22266,132477074573,58,right,-0.135257,-0.128980,-0.094479
22267,132477093541,58,right,-0.130547,-0.132918,-0.096562
22268,132477112532,58,right,-0.126104,-0.141163,-0.096737
22269,132477131233,58,right,-0.131087,-0.154032,-0.097290
22270,132477150230,58,right,-0.135506,-0.160938,-0.093800
22271,132477168865,58,right,-0.145589,-0.174307,-0.088976
22272,132477187394,58,right,-0.161980,-0.188517,-0.080257
22273,132477206178,58,right,-0.176760,-0.199214,-0.072934
22274,132477224600,58,right,-0.194086,-0.208770,-0.065014
22275,132477243888,58,right,-0.211351,-0.217901,-0.055619
22276,132477263075,58,right,-0.223553,-0.223512,-0.048160
22277,132477282550,58,right,-0.236369,-0.236352,-0.039403
22278,132477300778,58,right,-0.244885,-0.247360,-0.032069
22279,132477319393,58,right,-0.257244,-0.263011,-0.027869
22280,132477338418,58,right,-0.271481,-0.278978,-0.025252
22281,132477357531,58,right,-0.279724,-0.294482,-0.024286
22282,132477377893,58,right,-0.284703,-0.307522,-0.022966
22283,132477397179,58,right,-0.286850,-0.321537,-0.023435
22284,132477416548,58,right,-0.290161,-0.339695,-0.023880
22285,132477436050,58,right,-0.297104,-0.363350,-0.025671
22286,132477455346,58,right,-0.308878,-0.381382,-0.026187
22287,132477474578,58,right,-0.317080,-0.400542,-0.032700
22288,132477494559,58,right,-0.325480,-0.421485,-0.039192
22289,132477513958,58,right,-0.331958,-0.432075,-0.046476
22290,132477533849,58,right,-0.332757,-0.436573,-0.055604
22291,132477552151,58,right,-0.330929,-0.438988,-0.066816
22292,132477571898,58,right,-0.321324,-0.430933,-0.076605
22293,132477590944,58,right,-0.287795,-0.411101,-0.083262
22294,132477610965,58,right,-0.245512,-0.384437,-0.088709
22295,132477630439,58,right,-0.123665,-0.331399,-0.087160
22296,132477649978,58,right,0.036288,-0.248719,-0.081062
22297,132477669457,58,right,0.541651,-0.128091,-0.123820
22298,132477689445,58,right,1.117861,-0.157425,-0.201105
22299,132477708196,58,right,2.508568,-0.184705,-0.391034
22300,132477727166,58,right,4.546016,0.050796,-0.732275
22301,132477745689,58,right,6.880879,0.189968,-1.296994
22302,132477764318,58,right,9.717438,0.257130,-2.100339
22303,132477783481,58,right,12.666204,0.038011,-2.963925
22304,132477802098,58,right,15.867680,0.113362,-3.844668
22305,132477820456,58,right,20.572073,-0.130959,-4.991500
22306,132477838769,58,right,25.723263,-0.312590,-6.244289
22307,132477857584,58,right,30.022263,-0.755969,-7.075878
22308,132477876446,58,right,33.722546,-1.218161,-7.782806
22309,132477895083,58,right,37.648903,-1.255577,-8.082632
22310,132477913778,58,right,41.103989,-1.624607,-8.481791
22311,132477932698,58,right,45.339046,-2.029615,-8.411327
22312,132477951290,58,right,49.055367,-2.215041,-8.293842
22313,132477969676,58,right,51.944382,-2.269294,-8.288000
22314,132477988973,58,right,54.850864,-2.471363,-7.927954
22315,132478009585,58,right,57.540741,-2.554895,-7.628881
22316,132478028595,58,right,61.597374,-2.664007,-7.664821
22317,132478047595,58,right,65.301590,-2.607133,-7.519799
22318,132478066283,58,right,68.580887,-2.711917,-7.322833
22319,132478085646,58,right,71.559029,-2.874767,-7.648035
22320,132478104295,58,right,74.208717,-3.086077,-7.776785
22321,132478123495,58,right,77.833313,-3.371661,-8.011470
22322,132478142578,58,right,81.487282,-3.572272,-8.322401
22323,132478161486,58,right,85.364075,-3.781785,-8.943138
22324,132478179686,58,right,88.658401,-4.032648,-9.343847
22325,132478198337,58,right,91.637833,-4.350008,-9.924928
22326,132478217588,58,right,94.456017,-4.651907,-10.608685
22327,132478236229,58,right,98.337463,-5.281375,-11.222864
22328,132478254700,58,right,101.447548,-5.699110,-12.079831
22329,132478272859,58,right,104.109360,-5.877648,-12.857831
22330,132478291042,58,right,107.130051,-6.218187,-13.444939
22331,132478309215,58,right,109.439415,-6.366838,-14.139101
22332,132478327825,58,right,111.719704,-6.469161,-14.848748
22333,132478346447,58,right,114.840965,-6.892392,-15.457873
22334,132478365159,58,right,118.337471,-7.555083,-15.652147
22335,132478384166,58,right,122.855209,-8.344225,-15.086026
22336,132478402853,58,right,126.715454,-9.158750,-14.857134
22337,132478421112,58,right,-230.822433,-9.807738,-14.605766
22338,132478439321,58,right,-228.867722,-10.349215,-14.403283
22339,132478458170,58,right,-227.074524,-10.997305,-14.127996
22340,132478477105,58,right,-225.581757,-11.414766,-13.896855
22341,132478495829,58,right,-224.007401,-11.879843,-13.760301
22342,132478514250,58,right,-222.038666,-12.294384,-13.720531
22343,132478532489,58,right,-220.324936,-12.929796,-13.685362
22344,132478551101,58,right,-219.290619,-13.311996,-13.651586
22345,132478568873,58,right,-218.315155,-13.577598,-13.577212
22346,132478587739,58,right,-217.702057,-13.692788,-13.545447
22347,132478606369,58,right,-217.131516,-13.789259,-13.525499
22348,132478625421,58,right,-216.612595,-13.878015,-13.489287
22349,132478644138,58,right,-216.224335,-13.921600,-13.466120
22350,132478662621,58,right,-215.895279,-13.942080,-13.410525
22351,132478681295,58,right,-215.651703,-13.958799,-13.352070
22352,132478699397,58,right,-215.495483,-13.968738,-13.312357
22353,132478717823,58,right,-215.401840,-14.009777,-13.300334
22354,132478736243,58,right,-215.359741,-14.041855,-13.273811
22355,132478755079,58,right,-215.369888,-14.070589,-13.274913
22356,132478774197,58,right,-215.473175,-14.069575,-13.216766
22357,132478792701,58,right,-215.594574,-14.054665,-13.182978
22358,132478810841,58,right,-215.662796,-14.059895,-13.167632
22359,132478829267,58,right,-215.803253,-14.048615,-13.162547
22360,132478847584,58,right,-215.942978,-14.044022,-13.181069
22361,132478866422,58,right,-216.059830,-14.052557,-13.212563
22362,132478885140,58,right,-216.210052,-14.016605,-13.227155
22363,132478903657,58,right,-216.423965,-13.954744,-13.250198
22364,132478922821,58,right,-216.887115,-13.778490,-13.307326
22365,132478940788,58,right,-217.291794,-13.599721,-13.334814
22366,132478959153,58,right,-218.166138,-13.175988,-13.327546
22367,132478977401,58,right,-219.662323,-12.446255,-13.214422
22368,132478995690,58,right,-221.808655,-11.401012,-13.097625
22369,132479014841,58,right,-224.302246,-10.530499,-13.172289
22370,132479034391,58,right,-227.278687,-9.269592,-13.469457
22371,132479052885,58,right,-230.037125,-8.141938,-13.636249
22372,132479070981,58,right,126.797813,-7.111401,-14.094737
22373,132479089982,58,right,123.279648,-5.871812,-14.558771
22374,132479108924,58,right,119.602905,-4.668241,-14.864346
22375,132479128622,58,right,116.181824,-3.613145,-14.849995
22376,132479148924,58,right,111.817528,-2.621679,-14.180932
22377,132479169129,58,right,108.827057,-1.999095,-13.646894
22378,132479187736,58,right,105.841980,-1.568491,-12.994617
