trial,failed,error,train_sessions,val_sessions,session_norm,crop_first,crop_last,unstable_remove,gauss_sigma,win,step,b,include_mean,include_var,include_energy_sigmoid,early_stopping,validation_fraction,random_state,use_pca,pca_components,learning_rate,max_iter,max_leaf_nodes,max_depth,min_samples_leaf,l2_regularization,n_iter_no_change,train_mse,train_rmse,train_mae,train_r2,val_mse,val_rmse,val_mae,val_r2,train_time_s,actual_n_iter
409,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,63,8,20,1.0,30,3.6058477779635867,1.8989069956065743,1.2688175298432978,0.9976128439076677,396.91246955897753,19.922662210632833,16.3104677618504,0.6848093068624079,23.597171999979764,3000
49,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,63,8,20,1.0,30,3.6058477779635867,1.8989069956065743,1.2688175298432978,0.9976128439076677,396.91246955897753,19.922662210632833,16.3104677618504,0.6848093068624079,30.313558600028045,3000
63,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,63,12,20,20.0,30,3.9862393003880547,1.9965568612959799,1.3483508232232766,0.9973610157673406,397.11483420161227,19.927740318501048,16.31700015263706,0.6846486078245333,35.091141899931245,3000
423,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,63,12,20,20.0,30,3.9862393003880547,1.9965568612959799,1.3483508232232766,0.9973610157673406,397.11483420161227,19.927740318501048,16.31700015263706,0.6846486078245333,27.250587600050494,3000
421,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,63,12,20,1.0,30,2.904066415590564,1.704132159074103,1.1761463518237092,0.9980774396859232,397.64848332437623,19.9411254277279,16.313456631969142,0.6842248336934682,25.180008199997246,3000
61,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,63,12,20,1.0,30,2.904066415590564,1.704132159074103,1.1761463518237092,0.9980774396859232,397.64848332437623,19.9411254277279,16.313456631969142,0.6842248336934682,31.232970500015654,3000
481,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,8,20,1.0,30,2.8035879761528264,1.6743918227681436,1.12792777708731,0.9981439587775826,399.88338334459604,19.9970843710926,16.348206720218656,0.6824500855046571,28.79005329986103,3000
121,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,8,20,1.0,30,2.8035879761528264,1.6743918227681436,1.12792777708731,0.9981439587775826,399.88338334459604,19.9970843710926,16.348206720218656,0.6824500855046571,36.20127409999259,3000
494,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,12,20,10.0,30,2.737107159838893,1.654420490636795,1.1384391607169912,0.9981879706426027,400.11752696383485,20.002937958305896,16.371427643970822,0.6822641505812127,32.90155979990959,3000
134,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,12,20,10.0,30,2.737107159838893,1.654420490636795,1.1384391607169912,0.9981879706426027,400.11752696383485,20.002937958305896,16.371427643970822,0.6822641505812127,38.41852009994909,3000
495,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,12,20,20.0,30,3.1534802023138444,1.7758041002075213,1.2072701386305822,0.9979123218891802,400.3413980294079,20.008533130377348,16.37185869788427,0.6820863731573645,33.80550989997573,3000
135,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,12,20,20.0,30,3.1534802023138444,1.7758041002075213,1.2072701386305822,0.9979123218891802,400.3413980294079,20.008533130377348,16.37185869788427,0.6820863731573645,39.76935919991229,3000
133,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,12,20,1.0,30,2.2095229286599953,1.4864464096158985,1.0412315427159218,0.9985372438202931,400.4174917592274,20.010434571973377,16.35390639281557,0.6820259466470261,35.84910839993972,3000
493,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,12,20,1.0,30,2.2095229286599953,1.4864464096158985,1.0412315427159218,0.9985372438202931,400.4174917592274,20.010434571973377,16.35390639281557,0.6820259466470261,31.087745900033042,3000
422,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,63,12,20,10.0,30,3.475181996878877,1.8641840029564885,1.272294071938382,0.9976993477299538,400.5748140968251,20.014365193451056,16.379265627535673,0.681901015987406,26.888442900031805,3000
